,Unnamed: 0,Name,UserRating,Ingredients,FlavorProfile
320,381,,,"['Raspberry Syrup', 'Club Soda', 'Lemon']",
321,382,,,"['White Chocolate', 'Milk', 'Raspberry Syrup']",
322,383,,,"['Lemon Lime Soda', 'Grenadine', 'Maraschino Cherry']",
323,384,,,"['Apple Juice', 'Lime Juice', 'Club Soda']",
324,385,,,"['Lemonade', 'Lavender syrup', 'Club Soda']",
325,386,,,"['Peach Nectar', 'Sparkling Water', 'Lemon Juice']",
326,387,,,"['Apple Cider', 'Cinnamon Stick', 'Star Anise']",
327,388,,,"['Ginger Ale', 'Chili powder', 'Lime']",
328,389,,,"['Grapefruit Juice', 'Jalapeno Syrup', 'Soda Water']",
329,390,,,"['Lemonade', 'Strawberries', 'Basil Leaves']",
330,391,,,"['Strawberries', 'Cream Cheese', 'Milk']",
331,392,,,"['Strawberries', 'Kiwi', 'Club soda']",
332,393,,,"['Lemonade', 'Strawberries', 'Mint']",
333,394,,,"['Pineapple Juice', 'Orange juice', 'Mango Juice']",
334,395,,,"['Mango', 'Pineapple', 'Yogurt']",
335,396,,,"['Turmeric Juice', 'Tonic Water', 'Lime Juice']",
336,397,,,"['Chai Tea', 'Milk', 'Vanilla Syrup']",
337,398,,,"['Rooibos Tea', 'Milk', 'Vanilla extract']",
338,399,,,"['Lime Juice', 'Orange Juice', 'Agave Syrup']",
