,Name,UserRating,Ingredients,FlavorProfile
244,,,,"['Sour', 'Minty']"
245,,,,
246,,,Strawberry,"['Refreshing', 'Fruity']"
247,,,,
248,,,,
249,,,,
250,,,Iced Tea,
251,,,,
252,,,,
253,,,,
254,,,Sugar,
255,,,,"['Creamy', 'Earthy']"
256,,,,"['Herbal', 'Minty']"
257,,,,
258,,,,"['Refreshing', 'Tart']"
259,,,,
260,,,,
261,,,,
262,,,,
263,,,,
264,,,Passionfruit Juice,
265,,,,
266,,,,
267,,,,
268,,,,"['Creamy', 'Nutty']"
269,,,,"['Creamy', 'Fruity']"
270,,,,
271,,,,"['Sweet', 'Minty']"
272,,,,
273,,,"Simple Syrup, Lime",
274,,,,
275,,,,"['Bitter', 'Sweet']"
276,,,Lemon,"['Tart', 'Fruity']"
277,,,Agave syrup,
278,,,,
279,,,,
280,,,,
281,,,,
282,,,,
283,,,Maraschino Cherry,
284,,,,
285,,,,"['Sweet', 'Floral']"
286,,,,
287,,,Star Anise,
288,,,,"['Spicy', 'Fizzy']"
289,,,,
290,,,Basil Leaves,
291,,,,
292,,,,
293,,,Mint,
294,,,,
295,,,,
296,,,,
297,,,Vanilla Syrup,
298,,,Vanilla extract,"['Creamy', 'Herbal']"
299,,,,
300,,,"['Apple Cider', 'Club Soda', 'Cinnamon Stick']",
301,,,"['Banana', 'Mango', 'Yogurt']",
302,,,"['Beetroot Juice', 'Tonic Water', 'Lemon Juice']",
303,,,"['Orange Juice', 'Tonic Water', 'Grapefruit Juice']",
304,,,"['Ginger Beer', 'Lemon Juice', 'Blackberries']",
305,,,"['Lemonade', 'Blackberries', 'Simple Syrup']",
306,,,"['Blackberry Syrup', 'Club Soda', 'Sage leaves']",
307,,,"['Blackberries', 'Thyme syrup', 'Lime']",
308,,,"['Blood Orange Juice', 'Ginger Beer', 'Lime']",
309,,,"['Blackberry Syrup', 'Ginger Ale', 'Lime']",
310,,,"['Lemonade', 'Blueberries', 'Soda Water']",
311,,,"['Carrot Juice', 'Ginger Juice', 'Tonic Water']",
312,,,"['Celery Juice', 'Tonic Water', 'Lemon Juice']",
313,,,"['Cherry Syrup', 'Cola', 'Cherry']",
314,,,"['Cherry Syrup', 'Club soda', 'Vanilla Extract']",
315,,,"['Milk', 'Banana', 'Chocolate Syrup']",
316,,,"['Orange Juice', 'Grapefruit Juice', 'Mint leaves']",
317,,,"['Chai Tea', 'Coconut Milk', 'Honey']",
318,,,"['Coconut Milk', 'Orange Juice', 'Vanilla Extract']",
319,,,"['Coconut Water', 'Lime Juice', 'Agave Syrup']",
320,,,"['Cranberry Juice', 'Lime Juice', 'Club Soda']",
321,,,"['Cranberry Juice', 'Orange Juice', 'Soda Water']",
322,,,"['Cranberry Juice', 'Club Soda', 'Lime juice']",
323,,,"['Cranberry Juice', 'Thyme syrup', 'Club Soda']",
324,,,"['Cucumber Juice', 'Lime Juice', 'Club Soda']",
325,,,"['Cucumber Juice', 'Lime Juice', 'Agave Syrup']",
326,,,"['Cucumber Juice', 'Lime Juice', 'Mint leaves']",
327,,,"['Dandelion Root Tea', 'Club Soda', 'Lime Juice']",
328,,,"['Orange Juice', 'Pineapple Juice', 'Cranberry Juice']",
329,,,"['Ginger Ale', 'Lime Juice', 'Mint Leaves']",
330,,,"['Ginger Syrup', 'Lime Juice', 'Soda Water']",
331,,,"['Lime Juice', 'Ginger Syrup', 'Club Soda']",
332,,,"['Peach Tea', 'Ginger Ale', 'Peach Slice']",
333,,,"['Grapefruit Juice', 'Jalapeno Slices', 'Agave Syrup']",
334,,,"['Grapefruit Juice', 'Mint Leaves', 'Club Soda']",
335,,,"['Grapefruit Juice', 'Lime Juice', 'Agave Syrup']",
336,,,"['Grapefruit Juice', 'Club Soda', 'Rosemary']",
337,,,"['Grapefruit Juice', 'Sage Leaves', 'Soda Water']",
338,,,"['Grapefruit Juice', 'Soda Water', 'Grapefruit Slice']",
339,,,"['Grapefruit Juice', 'Club Soda', 'Mint Leaves']",
340,,,"['Spinach', 'Banana', 'Honey']",
341,,,"['Hibiscus tea', 'Lime Juice', 'Honey']",
342,,,"['Honeydew Melon Juice', 'Lime Juice', 'Basil leaves']",
343,,,"['Honeydew Melon Juice', 'Lime Juice', 'Mint Leaves']",
344,,,"['Kiwi', 'Lime Juice', 'Mint leaves']",
345,,,"['Kiwi Juice', 'Lime Juice', 'Agave Syrup']",
346,,,"['Lemonade', 'Kiwi', 'Strawberry']",
347,,,"['Lemonade', 'Lavender', 'Simple Syrup']",
348,,,"['Lemon Juice', 'Sage Leaves', 'Club Soda']",
349,,,"['Lemon Juice', 'Basil Syrup', 'Club Soda']",
350,,,"['Lemon Juice', 'Ginger Syrup', 'Iced Tea']",
351,,,"['Lemon Juice', 'Rosemary Syrup', 'Club Soda']",
352,,,"['Lime Juice', 'Cilantro Syrup', 'Club Soda']",
353,,,"['Mango Juice', 'Habanero Syrup', 'Lime']",
354,,,"['Mango', 'Yogurt', 'Sugar']",
355,,,"['Matcha Powder', 'Milk', 'Honey']",
356,,,"['Mint leaves', 'Lime Juice', 'Simple Syrup']",
357,,,"['Lemonade', 'Mint Leaves', 'Simple Syrup']",
358,,,"['Lime Juice', 'Club Soda', 'Mint Leaves']",
359,,,"['Orange Juice', 'Milk', 'Vanilla Extract']",
360,,,"['Orange Juice', 'Ginger Ale', 'Lime']",
361,,,"['Orange Juice', 'Pineapple Juice', 'Grenadine']",
362,,,"['Passionfruit juice', 'Habanero Syrup', 'Lime']",
363,,,"['Lemonade', 'Passionfruit Syrup', 'Lime']",
364,,,"['Mango', 'Agave Syrup', 'Passionfruit Juice']",
365,,,"['Peach Juice', 'Ginger Ale', 'Lime Juice']",
366,,,"['Peach tea', 'Lemonade', 'Peach Slice']",
367,,,"['Lemonade', 'Peach Syrup', 'Peach Slice']",
368,,,"['Peanut Butter', 'Banana', 'Milk']",
369,,,"['Pineapple Juice', 'Coconut Milk', 'Banana']",
370,,,"['Pineapple Juice', 'Coconut Water', 'Lime Juice']",
371,,,"['Pineapple Juice', 'Coconut water', 'Lime']",
372,,,"['Pineapple Juice', 'Cucumber Juice', 'Mint Leaves']",
373,,,"['Pineapple Juice', 'Jalapeno', 'Simple Syrup, Lime']",
374,,,"['Pineapple Juice', 'Mint syrup', 'Lime']",
375,,,"['Pineapple Juice', 'Sage Leaves', 'Tonic Water']",
376,,,"['Pomegranate Juice', 'Club Soda', 'Lemon']",
377,,,"['Pomegranate Juice', 'Lime Juice', 'Agave syrup']",
378,,,"['Lemonade', 'Raspberry Syrup', 'Club Soda']",
379,,,"['Lemonade', 'Raspberries', 'Simple Syrup']",
380,,,"['Raspberry Syrup', 'Lime Juice', 'Club Soda']",
381,,,"['Raspberry Syrup', 'Club Soda', 'Lemon']",
382,,,"['White Chocolate', 'Milk', 'Raspberry Syrup']",
383,,,"['Lemon Lime Soda', 'Grenadine', 'Maraschino Cherry']",
384,,,"['Apple Juice', 'Lime Juice', 'Club Soda']",
385,,,"['Lemonade', 'Lavender syrup', 'Club Soda']",
386,,,"['Peach Nectar', 'Sparkling Water', 'Lemon Juice']",
387,,,"['Apple Cider', 'Cinnamon Stick', 'Star Anise']",
388,,,"['Ginger Ale', 'Chili powder', 'Lime']",
389,,,"['Grapefruit Juice', 'Jalapeno Syrup', 'Soda Water']",
390,,,"['Lemonade', 'Strawberries', 'Basil Leaves']",
391,,,"['Strawberries', 'Cream Cheese', 'Milk']",
392,,,"['Strawberries', 'Kiwi', 'Club soda']",
393,,,"['Lemonade', 'Strawberries', 'Mint']",
394,,,"['Pineapple Juice', 'Orange juice', 'Mango Juice']",
395,,,"['Mango', 'Pineapple', 'Yogurt']",
396,,,"['Turmeric Juice', 'Tonic Water', 'Lime Juice']",
397,,,"['Chai Tea', 'Milk', 'Vanilla Syrup']",
398,,,"['Rooibos Tea', 'Milk', 'Vanilla extract']",
399,,,"['Lime Juice', 'Orange Juice', 'Agave Syrup']",
