,Cocktail Name,Ingredient 1,Ingredient 2,Ingredient 3,Flavor Profile 1,Flavor Profile 2,User Rating
20,Cranberry Lime Spritzer,Cranberry Juice,Lime Juice,Club Soda,Sour,Refreshing,4.3
21,Cranberry Orange Spritzer,Cranberry Juice,Orange Juice,Soda Water,Sweet,Fruity,4.2
22,Cranberry Spritz,Cranberry Juice,Club Soda,Lime juice,Tart,Refreshing,4.1
23,Cranberry Thyme Spritzer,Cranberry Juice,Thyme syrup,Club Soda,Sour,Herbal,4.2
24,Cucumber Cooler,Cucumber Juice,Lime Juice,Club Soda,Bitter,Refreshing,4.3
25,Cucumber Limeade,Cucumber Juice,Lime Juice,Agave Syrup,Refreshing,Sweet,4.1
26,Cucumber Mint Cooler,Cucumber Juice,Lime Juice,Mint leaves,Refreshing,Herbal,4.2
27,Dandelion Tea Spritz,Dandelion Root Tea,Club Soda,Lime Juice,Bitter,Refreshing,4.2
28,Fruit Punch,Orange Juice,Pineapple Juice,Cranberry Juice,Sweet,Fruity,4.2
29,Ginger Ale Spritzer,Ginger Ale,Lime Juice,Mint Leaves,Sweet,Refreshing,4.1
30,Ginger Lime Fizz,Ginger Syrup,Lime Juice,Soda Water,Spicy,Refreshing,4.2
31,Ginger Lime Rickey,Lime Juice,Ginger Syrup,Club Soda,Sour,Spicy,4.2
32,Ginger Peach Iced Tea,Peach Tea,Ginger Ale,Peach Slice,Sweet,Refreshing,4.3
33,Grapefruit Jalapeno Cooler,Grapefruit Juice,Jalapeno Slices,Agave Syrup,Sour,Spicy,4.2
34,Grapefruit Mint,Grapefruit Juice,Mint Leaves,Club Soda,Bitter,Refreshing,4.2
35,Grapefruit Paloma,Grapefruit Juice,Lime Juice,Agave Syrup,Sour,Bitter,4.1
36,Grapefruit Rosemary Spritzer,Grapefruit Juice,Club Soda,Rosemary,Tart,Herbal,4.1
37,Grapefruit Sage,Grapefruit Juice,Sage Leaves,Soda Water,Bitter,Refreshing,4.2
38,Grapefruit Spritzer,Grapefruit Juice,Soda Water,Grapefruit Slice,Sour,Refreshing,4.2
39,Grapefruit Spritzer,Grapefruit Juice,Club Soda,Mint Leaves,Refreshing,Bitter,4.3
40,Green Smoothie,Spinach,Banana,Honey,Sweet,Refreshing,4.1
41,Hibiscus Tea Cooler,Hibiscus tea,Lime Juice,Honey,Tart,Floral,4.2
42,Honeydew Basil Cooler,Honeydew Melon Juice,Lime Juice,Basil leaves,Sweet,Herbal,4.1
43,Honeydew Mint Cooler,Honeydew Melon Juice,Lime Juice,Mint Leaves,Refreshing,Sweet,4.2
44,Kiwi Lime Mojito,Kiwi,Lime Juice,Mint leaves,Sour,Minty,4.3
45,Kiwi Margarita,Kiwi Juice,Lime Juice,Agave Syrup,Sour,Fruity,4.1
46,Kiwi Strawberry Lemonade,Lemonade,Kiwi,Strawberry,Refreshing,Fruity,4.2
47,Lavender Lemonade,Lemonade,Lavender,Simple Syrup,Sweet,Refreshing,4.1
48,Lemon and Sage Spritz,Lemon Juice,Sage Leaves,Club Soda,Bitter,Refreshing,4.3
49,Lemon Basil Fizz,Lemon Juice,Basil Syrup,Club Soda,Sour,Herbal,4.1
50,Lemon Ginger Iced Tea,Lemon Juice,Ginger Syrup,Iced Tea,Sour,Spicy,4.1
51,Lemon Rosemary Sparkler,Lemon Juice,Rosemary Syrup,Club Soda,Sour,Herbal,4.2
52,Lime and Cilantro Mocktail,Lime Juice,Cilantro Syrup,Club Soda,Sour,Herbal,4.1
53,Mango Habanero Mocktail,Mango Juice,Habanero Syrup,Lime,Sour,Spicy,4.1
54,Mango Lassi,Mango,Yogurt,Sugar,Sweet,Creamy,4.3
55,Matcha Green Tea Latte,Matcha Powder,Milk,Honey,Creamy,Earthy,4.3
56,Mint Julep Mocktail,Mint leaves,Lime Juice,Simple Syrup,Herbal,Minty,4.3
57,Minty Lemonade,Lemonade,Mint Leaves,Simple Syrup,Sweet,Refreshing,4.2
58,Minty Lime Refresher,Lime Juice,Club Soda,Mint Leaves,Refreshing,Tart,4.1
59,Orange Creamsicle,Orange Juice,Milk,Vanilla Extract,Sweet,Creamy,4.4
60,Orange Ginger Fizz,Orange Juice,Ginger Ale,Lime,Sour,Fruity,4.3
61,Orange Sunrise,Orange Juice,Pineapple Juice,Grenadine,Sweet,Fruity,4.1
62,Passionfruit Habanero Cooler,Passionfruit juice,Habanero Syrup,Lime,Sour,Spicy,4.3
63,Passionfruit Lemonade,Lemonade,Passionfruit Syrup,Lime,Sweet,Fruity,4.2
64,Passionfruit Mango Smoothie,Mango,Agave Syrup,Passionfruit Juice,Sweet,Fruity,4.2
65,Peach Ginger Fizz,Peach Juice,Ginger Ale,Lime Juice,Refreshing,Sweet,4.3
66,Peach Iced Tea,Peach tea,Lemonade,Peach Slice,Sweet,Fruity,4.1
67,Peach Lemonade,Lemonade,Peach Syrup,Peach Slice,Sweet,Fruity,4.3
68,Peanut Butter Banana Smoothie,Peanut Butter,Banana,Milk,Creamy,Nutty,4.1
69,Pina Colada Smoothie,Pineapple Juice,Coconut Milk,Banana,Creamy,Fruity,4.3
70,Pineapple Coconut Cooler,Pineapple Juice,Coconut Water,Lime Juice,Sweet,Creamy,4.1
71,Pineapple Coconut Mojito,Pineapple Juice,Coconut water,Lime,Sweet,Minty,4.1
72,Pineapple Cucumber Cooler,Pineapple Juice,Cucumber Juice,Mint Leaves,Refreshing,Sweet,4.1
73,Pineapple Jalapeno Margarita,Pineapple Juice,Jalapeno,"Simple Syrup, Lime",Sour,Spicy,4.1
74,Pineapple Mint Mocktail,Pineapple Juice,Mint syrup,Lime,Sour,Minty,4.1
75,Pineapple Sage Tonic,Pineapple Juice,Sage Leaves,Tonic Water,Bitter,Sweet,4.1
76,Pomegranate Lemon Spritzer,Pomegranate Juice,Club Soda,Lemon,Tart,Fruity,4.3
77,Pomegranate Margarita Mocktail,Pomegranate Juice,Lime Juice,Agave syrup,Sour,Refreshing,4.1
78,Raspberry Lemon Spritzer,Lemonade,Raspberry Syrup,Club Soda,Refreshing,Fruity,4.2
79,Raspberry Lemonade,Lemonade,Raspberries,Simple Syrup,Sweet,Fruity,4.3
80,Raspberry Lime Rickey,Raspberry Syrup,Lime Juice,Club Soda,Sour,Fruity,4.2
81,Raspberry Sparkler,Raspberry Syrup,Club Soda,Lemon,Sweet,Fruity,4.3
82,Raspberry White Hot Chocolate,White Chocolate,Milk,Raspberry Syrup,Creamy,Fruity,4.1
83,Shirley Temple,Lemon Lime Soda,Grenadine,Maraschino Cherry,Sweet,Fruity,4.1
84,Sour Apple Spritz,Apple Juice,Lime Juice,Club Soda,Sour,Fruity,4.2
85,Sparkling Lavender Lemonade,Lemonade,Lavender syrup,Club Soda,Sweet,Floral,4.3
86,Sparkling Peach Punch,Peach Nectar,Sparkling Water,Lemon Juice,Refreshing,Fruity,4.1
87,Spiced Apple Cider,Apple Cider,Cinnamon Stick,Star Anise,Bitter,Spicy,4.3
88,Spicy Ginger Ale,Ginger Ale,Chili powder,Lime,Spicy,Fizzy,4.3
89,Spicy Grapefruit,Grapefruit Juice,Jalapeno Syrup,Soda Water,Bitter,Spicy,4.3
90,Strawberry Basil Lemonade,Lemonade,Strawberries,Basil Leaves,Sweet,Fruity,4.3
91,Strawberry Cheesecake Smoothie,Strawberries,Cream Cheese,Milk,Creamy,Fruity,4.2
92,Strawberry Kiwi Smash,Strawberries,Kiwi,Club soda,Sweet,Fruity,4.2
93,Strawberry Mint Lemonade,Lemonade,Strawberries,Mint,Sweet,Fruity,4.2
94,Tropical Punch,Pineapple Juice,Orange juice,Mango Juice,Sweet,Fruity,4.3
95,Tropical Yogurt Smoothie,Mango,Pineapple,Yogurt,Creamy,Fruity,4.2
96,Turmeric Tonic,Turmeric Juice,Tonic Water,Lime Juice,Bitter,Spicy,4.1
97,Vanilla Chai Latte,Chai Tea,Milk,Vanilla Syrup,Creamy,Spicy,4.3
98,Vanilla Rooibos Tea Latte,Rooibos Tea,Milk,Vanilla extract,Creamy,Herbal,4.1
99,Virgin Margarita,Lime Juice,Orange Juice,Agave Syrup,Sour,Refreshing,4.2
